,,,,,,,,,,
N° Wave,Pontos Base Inimigo,Qt Inimigos,Pontos Max Wave,SPWN_BETA será ativada ?,SPWN_ALPHA será ativada ?,SPWN_GAMA será ativada ?,SPWN_DELTA será ativada ?,Multiplicador Inimigos,Duração Wave (s),Intervalo entre Waves (s)
1,5,3,15,Sim,Não,Não,Não,"1,1",60,30
2,5,3,17,Sim,Não,Não,Não,"1,1",60,30
3,5,4,18,Sim,Não,Não,Não,"1,1",60,30
4,5,4,20,Sim,Não,Não,Não,"1,1",60,30
5,6,4,26,Sim,Sim,Não,Não,"1,1",60,30
6,6,5,29,Sim,Sim,Não,Não,"1,1",60,30
7,6,5,32,Sim,Sim,Não,Não,"1,1",60,30
8,6,6,35,Sim,Sim,Não,Não,"1,1",60,30
9,6,6,39,Sim,Sim,Não,Não,"1,1",60,30
10,7,7,50,Sim,Sim,Sim,Não,"1,1",60,30
11,7,8,54,Sim,Sim,Sim,Não,"1,1",60,30
12,7,9,60,Sim,Sim,Sim,Não,"1,1",60,30
13,7,9,66,Sim,Sim,Sim,Não,"1,1",60,30
14,7,10,72,Sim,Sim,Sim,Não,"1,1",60,30
15,8,11,91,Sim,Sim,Sim,Sim,"1,1",60,30
16,8,13,100,Sim,Sim,Sim,Sim,"1,1",60,30
17,8,14,110,Sim,Sim,Sim,Sim,"1,1",60,30
18,8,15,121,Sim,Sim,Sim,Sim,"1,1",60,30
19,8,17,133,Sim,Sim,Sim,Sim,"1,1",60,30
20,8,18,147,Sim,Sim,Sim,Sim,"1,1",60,30
21,8,20,161,Sim,Sim,Sim,Sim,"1,1",60,30
22,8,22,178,Sim,Sim,Sim,Sim,"1,1",60,30
23,8,24,195,Sim,Sim,Sim,Sim,"1,1",60,30
24,8,27,215,Sim,Sim,Sim,Sim,"1,1",60,30
25,8,30,236,Sim,Sim,Sim,Sim,"1,1",60,30
26,8,33,260,Sim,Sim,Sim,Sim,"1,1",60,30
27,8,36,286,Sim,Sim,Sim,Sim,"1,1",60,30
28,8,39,315,Sim,Sim,Sim,Sim,"1,1",60,30
29,8,43,346,Sim,Sim,Sim,Sim,"1,1",60,30
30,8,48,381,Sim,Sim,Sim,Sim,"1,1",60,30
31,8,52,419,Sim,Sim,Sim,Sim,"1,1",60,30
32,8,58,461,Sim,Sim,Sim,Sim,"1,1",60,30
33,8,63,507,Sim,Sim,Sim,Sim,"1,1",60,30
34,8,70,557,Sim,Sim,Sim,Sim,"1,1",60,30
35,8,77,613,Sim,Sim,Sim,Sim,"1,1",60,30
